City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,apiai,-24.5094,-48.8425,65.08,84,96,1.99,BR,1680749394
260,longyearbyen,78.2186,15.6401,28.24,80,75,3.44,SJ,1680749340
261,slave lake,55.2834,-114.769,40.98,52,0,6.91,CA,1680749394
262,alekseyevka,50.6309,38.6903,48.38,81,100,8.41,RU,1680749394
263,christchurch,-43.5333,172.6333,57.4,72,100,14.97,NZ,1680749373
264,klyuchi,52.2667,79.1667,44.74,46,4,7.14,RU,1680749395
265,nanortalik,60.1432,-45.2371,30.67,96,100,3.27,GL,1680749335
266,port macquarie,-31.4333,152.9167,76.89,60,96,8.08,AU,1680749395
267,bondoukou,8.0333,-2.8,74.12,89,97,3.06,CI,1680749395
268,bridlington,54.0831,-0.1919,48.88,98,100,10.63,GB,1680749395
269,bonthe,7.5264,-12.505,77.9,88,92,3.71,SL,1680749395
270,annau,37.8876,58.516,47.7,66,20,2.3,TM,1680749395
271,marfino,55.7028,37.3822,41.34,78,0,8.95,RU,1680749395
272,luanda,-8.8368,13.2343,78.24,84,100,3.24,AO,1680749395
273,provideniya,64.3833,-173.3,6.91,66,20,11.18,RU,1680749347
274,beian,63.6559,9.5683,43.02,52,0,16.11,NO,1680749395
275,champerico,14.3,-91.9167,83.8,70,69,8.43,GT,1680749395
276,batagay-alyta,67.8006,130.4114,3.4,77,100,1.72,RU,1680749395
277,salinas,36.6777,-121.6555,56.21,74,0,12.66,US,1680749282
278,iguape,-24.7081,-47.5553,72.1,85,27,4.52,BR,1680749396
279,grand-lahou,5.1367,-5.0242,79.03,89,18,6.11,CI,1680749396
280,suoyarvi,62.0833,32.35,20.48,100,95,4.32,RU,1680749396
281,ilulissat,69.2167,-51.1,-19.71,93,8,4.92,GL,1680749362
282,erenhot,43.6475,111.9767,33.57,44,28,19.3,CN,1680749396
283,kununurra,-15.7667,128.7333,91.38,62,40,5.75,AU,1680749369
284,yerbogachen,61.2767,108.0108,20.71,89,100,12.86,RU,1680749396
285,guerrero negro,27.9769,-114.0611,59.2,61,0,18.39,MX,1680749346
286,chkalovsk,56.7647,43.2433,36.32,89,100,10.51,RU,1680749396
287,agua verde,22.9,-106.05,69.49,65,44,11.48,MX,1680749396
288,thompson,55.7435,-97.8558,24.96,39,75,4.61,CA,1680749337
289,zaozerne,45.1582,33.2787,42.28,86,100,21.25,UA,1680749396
290,grand forks,47.9417,-97.4337,21.13,80,100,20.71,US,1680749230
291,srednekolymsk,67.45,153.6833,23.0,72,18,3.67,RU,1680749335
292,mehamn,71.0357,27.8492,37.31,75,100,19.57,NO,1680749366
293,ostrovnoy,68.0531,39.5131,19.09,95,98,9.82,RU,1680749356
294,oriximina,-1.7656,-55.8661,74.86,93,100,3.65,BR,1680749397
295,bereda,43.2686,-7.5406,41.58,100,0,2.66,ES,1680749397
296,falam,22.9167,93.6833,76.33,34,3,2.66,MM,1680749397
297,impfondo,1.6381,18.0667,72.21,92,95,4.36,CG,1680749341
298,murayama,38.5193,140.3346,62.85,55,75,2.3,JP,1680749397
299,cotonou,6.3654,2.4183,82.38,83,40,11.5,BJ,1680749397
300,zhezkazgan,47.8043,67.7144,39.18,48,89,11.18,KZ,1680749351
301,vallenar,-28.5708,-70.7581,67.06,57,0,1.41,CL,1680749397
302,shache,38.4167,77.2406,46.38,14,85,4.52,CN,1680749397
303,lakefield,43.6775,-95.1717,26.44,72,0,21.85,US,1680749397
304,houma,29.5958,-90.7195,77.0,90,75,6.91,US,1680749397
305,magistralnyy,56.1725,107.4458,21.42,66,95,5.12,RU,1680749397
306,cedar city,37.6775,-113.0619,29.37,55,0,4.61,US,1680749397
307,savalou,7.9281,1.9756,78.39,73,53,4.05,BJ,1680749397
308,laguna,38.421,-121.4238,61.09,44,0,4.61,US,1680749346
309,gondanglegi,-7.7479,112.0132,85.24,68,31,6.46,ID,1680749398
310,suda,59.1525,37.5582,28.51,96,16,6.51,RU,1680749398
311,racine,42.7495,-88.0751,39.42,70,0,13.8,US,1680749206
312,lere,10.387,8.5726,74.48,11,100,2.19,NG,1680749398
313,la asuncion,11.0333,-63.8628,78.53,83,23,17.27,VE,1680749398
314,belokurikha,51.9959,84.9896,44.83,58,13,1.16,RU,1680749398
315,bhachau,23.2833,70.35,76.39,46,54,10.92,IN,1680749100
316,tucupita,9.0622,-62.051,73.26,88,82,5.35,VE,1680749398
317,saldanha,-33.0117,17.9442,65.48,65,0,6.35,ZA,1680749333
318,frisco,33.1507,-96.8236,60.24,46,5,10.6,US,1680749397
319,labytnangi,66.6572,66.4183,-8.48,85,93,7.47,RU,1680749398
320,port blair,11.6667,92.75,86.04,62,40,5.75,IN,1680749338
321,bilma,18.6853,12.9164,81.1,8,100,9.17,NE,1680749398
322,caluquembe,-13.7833,14.6833,58.21,89,100,4.27,AO,1680749398
323,orangeburg,33.4918,-80.8557,75.49,81,0,8.05,US,1680749399
324,akle,15.0482,121.0733,85.8,39,59,4.56,PH,1680749399
325,sakakah,29.9697,40.2064,60.37,39,0,6.35,SA,1680749399
326,caravelas,-17.7125,-39.2481,73.89,93,24,2.42,BR,1680749334
327,khani,41.9563,42.9566,36.97,90,79,2.1,GE,1680749399
328,togur,58.3631,82.8265,35.73,83,100,12.48,RU,1680749399
329,omsukchan,62.5333,155.8,15.66,82,81,5.08,RU,1680749377
330,nkhata bay,-11.6066,34.2907,72.32,87,100,5.44,MW,1680749399
331,caibarien,22.5206,-79.4669,76.32,80,44,17.13,CU,1680749113
332,san cristobal,7.7669,-72.225,73.58,79,47,0.76,VE,1680749335
333,korla,41.7597,86.1469,43.54,16,72,5.28,CN,1680749327
334,challapata,-18.9,-66.7667,45.9,34,38,6.98,BO,1680749399
335,konevo,62.1215,39.3192,24.1,98,98,3.29,RU,1680749399
336,pemangkat,1.1667,108.9667,81.5,77,98,5.86,ID,1680749399
